original_index,review_text,review_text_processed,review_text_tokenized,polarity,rating,kfold_polarity,kfold_rating
10244,"Comprei um relógio por ORIGINAL, além de vir falsificado veio com defeito, não funciona, e ainda me cobraram garantia estendida ","comprei um relogio por original, alem de vir falsificado veio com defeito, nao funciona, e ainda me cobraram garantia estendida ","['comprei', 'um', 'relogio', 'por', 'original', 'alem', 'de', 'vir', 'falsificado', 'veio', 'com', 'defeito', 'nao', 'funciona', 'ainda', 'me', 'cobraram', 'garantia', 'estendida']",0.0,1,1,1
69690,Produto chegou em perfeito Estado. Bem embalado e protegido. ,produto chegou em perfeito estado. bem embalado e protegido. ,"['produto', 'chegou', 'em', 'perfeito', 'estado', 'bem', 'embalado', 'protegido']",1.0,5,1,1
64847,O produto veio sem manuai ensinando como montar.,o produto veio sem manuai ensinando como montar.,"['produto', 'veio', 'sem', 'manuai', 'ensinando', 'como', 'montar']",0.0,2,1,1
44470,Muito bom,muito bom,"['muito', 'bom']",1.0,5,1,1
20491,Uma loja aroma de comprar e o produto escelente,uma loja aroma de comprar e o produto escelente,"['uma', 'loja', 'aroma', 'de', 'comprar', 'produto', 'escelente']",1.0,4,1,1
3983,Sucesso na compra. Amei o produto ,sucesso na compra. amei o produto ,"['sucesso', 'na', 'compra', 'amei', 'produto']",1.0,5,1,1
41422,"Comprei dois produtos, porém somente um chegou o outro mostra que o produto foi entregue, mad não foi.
Pedido 03-497510804
Skate ","comprei dois produtos, porem somente um chegou o outro mostra que o produto foi entregue, mad nao foi.
pedido 03-497510804
skate ","['comprei', 'dois', 'produtos', 'porem', 'somente', 'um', 'chegou', 'outro', 'mostra', 'que', 'produto', 'foi', 'entregue', 'mad', 'nao', 'foi', 'pedido', '03', '497510804', 'skate']",,3,-1,1
69172,"Apesar de constar como entregue no histórico de pedidos, nada foi entregue.","apesar de constar como entregue no historico de pedidos, nada foi entregue.","['apesar', 'de', 'constar', 'como', 'entregue', 'no', 'historico', 'de', 'pedidos', 'nada', 'foi', 'entregue']",0.0,1,1,1
89233,Comprei dois arranhadores e somente um foi entregue ,comprei dois arranhadores e somente um foi entregue ,"['comprei', 'dois', 'arranhadores', 'somente', 'um', 'foi', 'entregue']",0.0,1,1,1
55805,Chegou bem antes do tempo e em otimas condicoes,chegou bem antes do tempo e em otimas condicoes,"['chegou', 'bem', 'antes', 'do', 'tempo', 'em', 'otimas', 'condicoes']",1.0,4,1,1
3690,Até o momento não houve o recebimento do produto,ate o momento nao houve o recebimento do produto,"['ate', 'momento', 'nao', 'houve', 'recebimento', 'do', 'produto']",0.0,1,1,1
88384,Era para receber o produto até 19/3 e age hoje (23/3) não recebi e não sei o motivo ,era para receber o produto ate 19/3 e age hoje (23/3) nao recebi e nao sei o motivo ,"['era', 'para', 'receber', 'produto', 'ate', '19', 'age', 'hoje', '23', 'nao', 'recebi', 'nao', 'sei', 'motivo']",0.0,1,1,1
82908,otimo vendedor,otimo vendedor,"['otimo', 'vendedor']",1.0,5,1,1
68216,Foi entregue antes do prazo.,foi entregue antes do prazo.,"['foi', 'entregue', 'antes', 'do', 'prazo']",1.0,4,1,1
31364,"A entrega foi demorada mas dentro do prazo.
Mas a mochila não é o eu esperava,por ser de marca eu achei muito simples , não gostei nem um pouco do produto.","a entrega foi demorada mas dentro do prazo.
mas a mochila nao e o eu esperava,por ser de marca eu achei muito simples , nao gostei nem um pouco do produto.","['entrega', 'foi', 'demorada', 'mas', 'dentro', 'do', 'prazo', 'mas', 'mochila', 'nao', 'eu', 'esperava', 'por', 'ser', 'de', 'marca', 'eu', 'achei', 'muito', 'simples', 'nao', 'gostei', 'nem', 'um', 'pouco', 'do', 'produto']",0.0,1,1,1
4825,Produto chegou com risco e manchado. ,produto chegou com risco e manchado. ,"['produto', 'chegou', 'com', 'risco', 'manchado']",0.0,1,1,1
45947,O produto que recebi não é da cor que comprei. Já solicitei devolução. ,o produto que recebi nao e da cor que comprei. ja solicitei devolucao. ,"['produto', 'que', 'recebi', 'nao', 'da', 'cor', 'que', 'comprei', 'ja', 'solicitei', 'devolucao']",,3,-1,1
23016,"Chegou antes do prazo final, muito bom!","chegou antes do prazo final, muito bom!","['chegou', 'antes', 'do', 'prazo', 'final', 'muito', 'bom']",1.0,5,1,1
78245,"Entregaram em um prazo incrível , comprei no Sábado , segunda esta em casa, muito surpreendente , parabéns , recomendo a todos .","entregaram em um prazo incrivel , comprei no sabado , segunda esta em casa, muito surpreendente , parabens , recomendo a todos .","['entregaram', 'em', 'um', 'prazo', 'incrivel', 'comprei', 'no', 'sabado', 'segunda', 'esta', 'em', 'casa', 'muito', 'surpreendente', 'parabens', 'recomendo', 'todos']",1.0,5,1,1
734,"Obrigada, chegou mto rápido","obrigada, chegou mto rapido","['obrigada', 'chegou', 'mto', 'rapido']",1.0,5,1,1
21316,so recebi um falta dois jogos ainda ,so recebi um falta dois jogos ainda ,"['so', 'recebi', 'um', 'falta', 'dois', 'jogos', 'ainda']",0.0,1,1,1
25878,"Recomendo, bom produto e chegou antes do prazo estabelecido.","recomendo, bom produto e chegou antes do prazo estabelecido.","['recomendo', 'bom', 'produto', 'chegou', 'antes', 'do', 'prazo', 'estabelecido']",1.0,5,1,1
88581,Produto chegou antes do prazo,produto chegou antes do prazo,"['produto', 'chegou', 'antes', 'do', 'prazo']",1.0,5,1,1
17001,Eu recomendo muito bom estou satisfeita,eu recomendo muito bom estou satisfeita,"['eu', 'recomendo', 'muito', 'bom', 'estou', 'satisfeita']",1.0,5,1,1
91147,"Produto corresponde ao descrito, é ótimo!","produto corresponde ao descrito, e otimo!","['produto', 'corresponde', 'ao', 'descrito', 'otimo']",1.0,5,1,1
90339,Infelizmente ainda não recebi a mercadoria ,infelizmente ainda nao recebi a mercadoria ,"['infelizmente', 'ainda', 'nao', 'recebi', 'mercadoria']",0.0,2,1,1
95766,"Excelente produto, chegou antes do que eu imaginava!","excelente produto, chegou antes do que eu imaginava!","['excelente', 'produto', 'chegou', 'antes', 'do', 'que', 'eu', 'imaginava']",1.0,5,1,1
93016,acredito que seja problema nos correios,acredito que seja problema nos correios,"['acredito', 'que', 'seja', 'problema', 'nos', 'correios']",0.0,2,1,1
74517,ótimo produto e entregue dentro do prazo ,otimo produto e entregue dentro do prazo ,"['otimo', 'produto', 'entregue', 'dentro', 'do', 'prazo']",1.0,4,1,1
66639,O carrinho não foi entregue só a boneca. Qdo bem???,o carrinho nao foi entregue so a boneca. qdo bem???,"['carrinho', 'nao', 'foi', 'entregue', 'so', 'boneca', 'qdo', 'bem']",0.0,1,1,1
13489,Um ótimo produto!,um otimo produto!,"['um', 'otimo', 'produto']",1.0,5,1,1
71636,Bom esperar o resultado,bom esperar o resultado,"['bom', 'esperar', 'resultado']",0.0,2,1,1
61181,Recomendo ,recomendo ,['recomendo'],1.0,5,1,1
14231,Super recomendo; entregraram no tempo certo !,super recomendo; entregraram no tempo certo !,"['super', 'recomendo', 'entregraram', 'no', 'tempo', 'certo']",1.0,5,1,1
75258,"achei o prazo da entrega um pouco demorado...contudo, suponhoo que a greve dos caminhoneiros deva ter afetado de alguma forma...","achei o prazo da entrega um pouco demorado...contudo, suponhoo que a greve dos caminhoneiros deva ter afetado de alguma forma...","['achei', 'prazo', 'da', 'entrega', 'um', 'pouco', 'demorado', 'contudo', 'suponhoo', 'que', 'greve', 'dos', 'caminhoneiros', 'deva', 'ter', 'afetado', 'de', 'alguma', 'forma']",,3,-1,1
84208,Produto excelente fiquei muito satisfeito.,produto excelente fiquei muito satisfeito.,"['produto', 'excelente', 'fiquei', 'muito', 'satisfeito']",1.0,5,1,1
30212,"Recebi tudo certo! Entregue antes do prazo. 
","recebi tudo certo! entregue antes do prazo. 
","['recebi', 'tudo', 'certo', 'entregue', 'antes', 'do', 'prazo']",1.0,5,1,1
81329,"Foi tudo correto , acompanhamento da entrega ,servico eficiente ","foi tudo correto , acompanhamento da entrega ,servico eficiente ","['foi', 'tudo', 'correto', 'acompanhamento', 'da', 'entrega', 'servico', 'eficiente']",1.0,5,1,1
84958,O produto é desproporcional e de péssima qualidade. Não acredito que uma instituição com um nome desses se queime por tão pouco. Só não entro com pedido de devolução pra evitar desgastes.,o produto e desproporcional e de pessima qualidade. nao acredito que uma instituicao com um nome desses se queime por tao pouco. so nao entro com pedido de devolucao pra evitar desgastes.,"['produto', 'desproporcional', 'de', 'pessima', 'qualidade', 'nao', 'acredito', 'que', 'uma', 'instituicao', 'com', 'um', 'nome', 'desses', 'se', 'queime', 'por', 'tao', 'pouco', 'so', 'nao', 'entro', 'com', 'pedido', 'de', 'devolucao', 'pra', 'evitar', 'desgastes']",0.0,1,1,1
68919,Entrega de prazo ,entrega de prazo ,"['entrega', 'de', 'prazo']",1.0,5,1,1
91446,"Entrega rápida, até mesmo antes do prazo estipulado.","entrega rapida, ate mesmo antes do prazo estipulado.","['entrega', 'rapida', 'ate', 'mesmo', 'antes', 'do', 'prazo', 'estipulado']",1.0,5,1,1
59588,Produto chegou no prazo e correto ,produto chegou no prazo e correto ,"['produto', 'chegou', 'no', 'prazo', 'correto']",1.0,5,1,1
88446,"Venho expressar a minha grande insatisfação pela loja e vendedor do produto.
Comprei o produto a mais de um mês e não recebi, o mesmo ficou de entrar em contato comigo e não me respondeu. ","venho expressar a minha grande insatisfacao pela loja e vendedor do produto.
comprei o produto a mais de um mes e nao recebi, o mesmo ficou de entrar em contato comigo e nao me respondeu. ","['venho', 'expressar', 'minha', 'grande', 'insatisfacao', 'pela', 'loja', 'vendedor', 'do', 'produto', 'comprei', 'produto', 'mais', 'de', 'um', 'mes', 'nao', 'recebi', 'mesmo', 'ficou', 'de', 'entrar', 'em', 'contato', 'comigo', 'nao', 'me', 'respondeu']",0.0,1,1,1
23478,Excelente na compra no pagamento do boleto bancario e na entrega obrigada,excelente na compra no pagamento do boleto bancario e na entrega obrigada,"['excelente', 'na', 'compra', 'no', 'pagamento', 'do', 'boleto', 'bancario', 'na', 'entrega', 'obrigada']",1.0,5,1,1
62930,Entrega no prazo. Produto correto. Perfeito!!,entrega no prazo. produto correto. perfeito!!,"['entrega', 'no', 'prazo', 'produto', 'correto', 'perfeito']",1.0,5,1,1
87218,"Ótimo antedimento, como sempre","otimo antedimento, como sempre","['otimo', 'antedimento', 'como', 'sempre']",1.0,5,1,1
92506,Entregue bem antes do prazo. ,entregue bem antes do prazo. ,"['entregue', 'bem', 'antes', 'do', 'prazo']",1.0,5,1,1
72251,Produto chegou antes do esperado e é de boa qualidade. Super gostei.,produto chegou antes do esperado e e de boa qualidade. super gostei.,"['produto', 'chegou', 'antes', 'do', 'esperado', 'de', 'boa', 'qualidade', 'super', 'gostei']",1.0,5,1,1
83852,A luminária é muito bonita e possui boa vedação contra chuva e insetos. Agora só falta eu instalar na minha área para torná-la mais bonita graças a esse adereço.,a luminaria e muito bonita e possui boa vedacao contra chuva e insetos. agora so falta eu instalar na minha area para torna-la mais bonita gracas a esse adereco.,"['luminaria', 'muito', 'bonita', 'possui', 'boa', 'vedacao', 'contra', 'chuva', 'insetos', 'agora', 'so', 'falta', 'eu', 'instalar', 'na', 'minha', 'area', 'para', 'torna', 'la', 'mais', 'bonita', 'gracas', 'esse', 'adereco']",1.0,4,1,1
49530,"Tive que ir aos correios para retirar meu produto, sendo que paguei o frete de R$ 7,52, os quais requeiro o seu reembolso, como medida da mais lídima justiça!","tive que ir aos correios para retirar meu produto, sendo que paguei o frete de r$ 7,52, os quais requeiro o seu reembolso, como medida da mais lidima justica!","['tive', 'que', 'ir', 'aos', 'correios', 'para', 'retirar', 'meu', 'produto', 'sendo', 'que', 'paguei', 'frete', 'de', '52', 'os', 'quais', 'requeiro', 'seu', 'reembolso', 'como', 'medida', 'da', 'mais', 'lidima', 'justica']",,3,-1,1
61367,"comprei uma bateria 12v xb 1270 e recebi uma xb 12AL, de amperagem menor que a efetivamente comprada.","comprei uma bateria 12v xb 1270 e recebi uma xb 12al, de amperagem menor que a efetivamente comprada.","['comprei', 'uma', 'bateria', '12v', 'xb', '1270', 'recebi', 'uma', 'xb', '12al', 'de', 'amperagem', 'menor', 'que', 'efetivamente', 'comprada']",0.0,1,1,1
37727,"Comprei o produto mais não foi entregue, toda vez que entro em contato me garantem um retorno de 48 horas de 1 dia mais nunca retornam a entrega ja esta 14 dias em atraso.","comprei o produto mais nao foi entregue, toda vez que entro em contato me garantem um retorno de 48 horas de 1 dia mais nunca retornam a entrega ja esta 14 dias em atraso.","['comprei', 'produto', 'mais', 'nao', 'foi', 'entregue', 'toda', 'vez', 'que', 'entro', 'em', 'contato', 'me', 'garantem', 'um', 'retorno', 'de', '48', 'horas', 'de', 'dia', 'mais', 'nunca', 'retornam', 'entrega', 'ja', 'esta', '14', 'dias', 'em', 'atraso']",0.0,1,1,1
98662,otima,otima,['otima'],1.0,5,1,1
30708,Muito rápida a entrega. ,muito rapida a entrega. ,"['muito', 'rapida', 'entrega']",1.0,5,1,1
49804,Ótimo o prazo de entrega ,otimo o prazo de entrega ,"['otimo', 'prazo', 'de', 'entrega']",1.0,5,1,1
84732,"O produto não chegou e nem tem um código rasteador para que eu possa verificar o status da entrega, o prazo já passou e nada.","o produto nao chegou e nem tem um codigo rasteador para que eu possa verificar o status da entrega, o prazo ja passou e nada.","['produto', 'nao', 'chegou', 'nem', 'tem', 'um', 'codigo', 'rasteador', 'para', 'que', 'eu', 'possa', 'verificar', 'status', 'da', 'entrega', 'prazo', 'ja', 'passou', 'nada']",0.0,1,1,1
3387,Muito bonito!!!! Satisfeita com o material!!! ,muito bonito!!!! satisfeita com o material!!! ,"['muito', 'bonito', 'satisfeita', 'com', 'material']",1.0,5,1,1
90251,"Mito boa a caixa de som, ela superou minhas expectativas.
Recomendo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","mito boa a caixa de som, ela superou minhas expectativas.
recomendo!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","['mito', 'boa', 'caixa', 'de', 'som', 'ela', 'superou', 'minhas', 'expectativas', 'recomendo']",1.0,5,1,1
23594,"Recebi no prazo, e a mercadoria sem defeito.","recebi no prazo, e a mercadoria sem defeito.","['recebi', 'no', 'prazo', 'mercadoria', 'sem', 'defeito']",1.0,4,1,1
99019,Estou no aguardo ,estou no aguardo ,"['estou', 'no', 'aguardo']",0.0,1,1,1
65061,"Infelizmente estou tentando, entrar em contato com a central de atendimento e não consigo. Não recebi o meu produto e também não tive nenhum retorno do status.","infelizmente estou tentando, entrar em contato com a central de atendimento e nao consigo. nao recebi o meu produto e tambem nao tive nenhum retorno do status.","['infelizmente', 'estou', 'tentando', 'entrar', 'em', 'contato', 'com', 'central', 'de', 'atendimento', 'nao', 'consigo', 'nao', 'recebi', 'meu', 'produto', 'tambem', 'nao', 'tive', 'nenhum', 'retorno', 'do', 'status']",0.0,1,1,1
62481,Devido a greve dos caminhoneiros o produto ainda não foi entregue.,devido a greve dos caminhoneiros o produto ainda nao foi entregue.,"['devido', 'greve', 'dos', 'caminhoneiros', 'produto', 'ainda', 'nao', 'foi', 'entregue']",1.0,4,1,1
21678,"Realizei a compra de 2 colchas de solteiro e só recebi 1 produto.
E até agora não recebi a outra colcha.","realizei a compra de 2 colchas de solteiro e so recebi 1 produto.
e ate agora nao recebi a outra colcha.","['realizei', 'compra', 'de', 'colchas', 'de', 'solteiro', 'so', 'recebi', 'produto', 'ate', 'agora', 'nao', 'recebi', 'outra', 'colcha']",0.0,1,1,1
83680,GOSTEI MUITO DO PRODUTO,gostei muito do produto,"['gostei', 'muito', 'do', 'produto']",1.0,4,1,1
91935,Gostei da compra indicaria 👍,gostei da compra indicaria 👍,"['gostei', 'da', 'compra', 'indicaria']",1.0,5,1,1
17997,"Novo, lacrado, otimo atendimento, recomendo","novo, lacrado, otimo atendimento, recomendo","['novo', 'lacrado', 'otimo', 'atendimento', 'recomendo']",1.0,5,1,1
28722,Não recebi o espremedor,nao recebi o espremedor,"['nao', 'recebi', 'espremedor']",1.0,4,1,1
44379,Super recomendo,super recomendo,"['super', 'recomendo']",1.0,5,1,1
5706,produto entregue antes da data,produto entregue antes da data,"['produto', 'entregue', 'antes', 'da', 'data']",1.0,5,1,1
66293,Tudo certo com a entrega e o produto é de boa qualidade ,tudo certo com a entrega e o produto e de boa qualidade ,"['tudo', 'certo', 'com', 'entrega', 'produto', 'de', 'boa', 'qualidade']",1.0,4,1,1
77165,Continuem assim,continuem assim,"['continuem', 'assim']",1.0,5,1,1
3706,"Incrível trabalho que foi feita, produto entregue muito rápido, em uma semana já estava na minha casa, recomendo a todos, vale a pena.","incrivel trabalho que foi feita, produto entregue muito rapido, em uma semana ja estava na minha casa, recomendo a todos, vale a pena.","['incrivel', 'trabalho', 'que', 'foi', 'feita', 'produto', 'entregue', 'muito', 'rapido', 'em', 'uma', 'semana', 'ja', 'estava', 'na', 'minha', 'casa', 'recomendo', 'todos', 'vale', 'pena']",1.0,5,1,1
27100,Não veio do jeito que eu queria mas deu certo,nao veio do jeito que eu queria mas deu certo,"['nao', 'veio', 'do', 'jeito', 'que', 'eu', 'queria', 'mas', 'deu', 'certo']",,3,-1,1
27142,"Produto conforme anuncio, chegou antes do prazo.","produto conforme anuncio, chegou antes do prazo.","['produto', 'conforme', 'anuncio', 'chegou', 'antes', 'do', 'prazo']",1.0,5,1,1
36860,Eu não recebi o peoduto,eu nao recebi o peoduto,"['eu', 'nao', 'recebi', 'peoduto']",0.0,1,1,1
79665,O prazo de entrega determinado pela lj é mto grande,o prazo de entrega determinado pela lj e mto grande,"['prazo', 'de', 'entrega', 'determinado', 'pela', 'lj', 'mto', 'grande']",1.0,5,1,1
57405,Solicitei o reenvio da mercadoria para outro endereço já entrei em contato pelo telefone passando os dados no dia 15/02/18 espero que seja atendida a minha solicitação .,solicitei o reenvio da mercadoria para outro endereco ja entrei em contato pelo telefone passando os dados no dia 15/02/18 espero que seja atendida a minha solicitacao .,"['solicitei', 'reenvio', 'da', 'mercadoria', 'para', 'outro', 'endereco', 'ja', 'entrei', 'em', 'contato', 'pelo', 'telefone', 'passando', 'os', 'dados', 'no', 'dia', '15', '02', '18', 'espero', 'que', 'seja', 'atendida', 'minha', 'solicitacao']",0.0,1,1,1
99005,MUITO BOM...,muito bom...,"['muito', 'bom']",1.0,5,1,1
70615,"Se o produto não chegou, como pode ser obrigatório o preenchimento da avaliação geral ou se eu recomendo a loja?! Piada né?!","se o produto nao chegou, como pode ser obrigatorio o preenchimento da avaliacao geral ou se eu recomendo a loja?! piada ne?!","['se', 'produto', 'nao', 'chegou', 'como', 'pode', 'ser', 'obrigatorio', 'preenchimento', 'da', 'avaliacao', 'geral', 'ou', 'se', 'eu', 'recomendo', 'loja', 'piada', 'ne']",0.0,1,1,1
86008,Estão de parabéns pelo atendimento.,estao de parabens pelo atendimento.,"['estao', 'de', 'parabens', 'pelo', 'atendimento']",1.0,5,1,1
99779,"Produto muito bom, mercadoria recebida, foi a escolhida. Recomendo.","produto muito bom, mercadoria recebida, foi a escolhida. recomendo.","['produto', 'muito', 'bom', 'mercadoria', 'recebida', 'foi', 'escolhida', 'recomendo']",1.0,5,1,1
60763,"Produto bom, conforme o preço,........................","produto bom, conforme o preco,........................","['produto', 'bom', 'conforme', 'preco']",,3,-1,1
18280,Entregou no prazo.,entregou no prazo.,"['entregou', 'no', 'prazo']",1.0,4,1,1
17459,"Produto excelente e entrega feita muiiiito antes do prazo!
","produto excelente e entrega feita muiiiito antes do prazo!
","['produto', 'excelente', 'entrega', 'feita', 'muiiiito', 'antes', 'do', 'prazo']",1.0,5,1,1
96491,O produto veio com defeito! Espero que não demore muito a troca pois foi comprada para presentear!,o produto veio com defeito! espero que nao demore muito a troca pois foi comprada para presentear!,"['produto', 'veio', 'com', 'defeito', 'espero', 'que', 'nao', 'demore', 'muito', 'troca', 'pois', 'foi', 'comprada', 'para', 'presentear']",0.0,2,1,1
17616,"Comprei duas unidades, mas na embalagem veio apenas uma, quero saber o que houve, pois paguei dois e recebi apenas um.","comprei duas unidades, mas na embalagem veio apenas uma, quero saber o que houve, pois paguei dois e recebi apenas um.","['comprei', 'duas', 'unidades', 'mas', 'na', 'embalagem', 'veio', 'apenas', 'uma', 'quero', 'saber', 'que', 'houve', 'pois', 'paguei', 'dois', 'recebi', 'apenas', 'um']",0.0,2,1,1
42315,"Comprei dois rolos de cabo 10 mm, um verde e outro azul. Recebi apenas o rolo de cabo verde. Continuo aguardando a entrega do outro.","comprei dois rolos de cabo 10 mm, um verde e outro azul. recebi apenas o rolo de cabo verde. continuo aguardando a entrega do outro.","['comprei', 'dois', 'rolos', 'de', 'cabo', '10', 'mm', 'um', 'verde', 'outro', 'azul', 'recebi', 'apenas', 'rolo', 'de', 'cabo', 'verde', 'continuo', 'aguardando', 'entrega', 'do', 'outro']",1.0,5,1,1
25415,"Excelente loja. Sempre que posso, faço minhas compras aqui.","excelente loja. sempre que posso, faco minhas compras aqui.","['excelente', 'loja', 'sempre', 'que', 'posso', 'faco', 'minhas', 'compras', 'aqui']",1.0,4,1,1
4175,"Comprei 3 plafons de led, 2 ralos inteligentes e 2 luminarias. Um dos ralos veio quebrado, comprometendo a funcionalidade do mesmo, e as 2 luminárias simplesmente não foram entregues. E ate agora nada","comprei 3 plafons de led, 2 ralos inteligentes e 2 luminarias. um dos ralos veio quebrado, comprometendo a funcionalidade do mesmo, e as 2 luminarias simplesmente nao foram entregues. e ate agora nada","['comprei', 'plafons', 'de', 'led', 'ralos', 'inteligentes', 'luminarias', 'um', 'dos', 'ralos', 'veio', 'quebrado', 'comprometendo', 'funcionalidade', 'do', 'mesmo', 'as', 'luminarias', 'simplesmente', 'nao', 'foram', 'entregues', 'ate', 'agora', 'nada']",0.0,1,1,1
55556,Excelente produto. ,excelente produto. ,"['excelente', 'produto']",1.0,4,1,1
56070,recomendo pra todos,recomendo pra todos,"['recomendo', 'pra', 'todos']",1.0,5,1,1
47804,"Muito boa, recomendo","muito boa, recomendo","['muito', 'boa', 'recomendo']",1.0,4,1,1
38489,"Tudo dentro do prazo estabelecido.

","tudo dentro do prazo estabelecido.

","['tudo', 'dentro', 'do', 'prazo', 'estabelecido']",1.0,5,1,1
34679,Tudo ótimo sem reclamações. Obrigada ,tudo otimo sem reclamacoes. obrigada ,"['tudo', 'otimo', 'sem', 'reclamacoes', 'obrigada']",1.0,5,1,1
34743,"Muito insatisfeita!!!O produto que foi entregue não era o mesmo que pedi!
Propaganda enganosa,decepcionada com a parceira do site stark!!! Tentei resolver por email,e até agora não obtive respost","muito insatisfeita!!!o produto que foi entregue nao era o mesmo que pedi!
propaganda enganosa,decepcionada com a parceira do site stark!!! tentei resolver por email,e ate agora nao obtive respost","['muito', 'insatisfeita', 'produto', 'que', 'foi', 'entregue', 'nao', 'era', 'mesmo', 'que', 'pedi', 'propaganda', 'enganosa', 'decepcionada', 'com', 'parceira', 'do', 'site', 'stark', 'tentei', 'resolver', 'por', 'email', 'ate', 'agora', 'nao', 'obtive', 'respost']",0.0,1,1,1
99827,Estou desde dezembro aguardando o produto e ainda não recebi.Decepcionada com a Americana pois além do atraso dei de presente uma pista de água que não cumpre com a propaganda. Atrasar minha encomend,estou desde dezembro aguardando o produto e ainda nao recebi.decepcionada com a americana pois alem do atraso dei de presente uma pista de agua que nao cumpre com a propaganda. atrasar minha encomend,"['estou', 'desde', 'dezembro', 'aguardando', 'produto', 'ainda', 'nao', 'recebi', 'decepcionada', 'com', 'americana', 'pois', 'alem', 'do', 'atraso', 'dei', 'de', 'presente', 'uma', 'pista', 'de', 'agua', 'que', 'nao', 'cumpre', 'com', 'propaganda', 'atrasar', 'minha', 'encomend']",0.0,1,1,1
51847,"O fornecedor é confiavel e recebi meu produto conforme prometido, sòmente o período de espera para o recebimento foi longo, mas não comprometeu a confiança do cliente.","o fornecedor e confiavel e recebi meu produto conforme prometido, somente o periodo de espera para o recebimento foi longo, mas nao comprometeu a confianca do cliente.","['fornecedor', 'confiavel', 'recebi', 'meu', 'produto', 'conforme', 'prometido', 'somente', 'periodo', 'de', 'espera', 'para', 'recebimento', 'foi', 'longo', 'mas', 'nao', 'comprometeu', 'confianca', 'do', 'cliente']",1.0,4,1,1
30311,"Vocês estão de parabéns, entregar muito rápido muito satifeita obrigado ","voces estao de parabens, entregar muito rapido muito satifeita obrigado ","['voces', 'estao', 'de', 'parabens', 'entregar', 'muito', 'rapido', 'muito', 'satifeita', 'obrigado']",1.0,5,1,1
94225,Não posso avaliar se não entregaram ainda,nao posso avaliar se nao entregaram ainda,"['nao', 'posso', 'avaliar', 'se', 'nao', 'entregaram', 'ainda']",,3,-1,1
38377,Bom,bom,['bom'],1.0,4,1,1
65185,"Infelizmente não recebi o produto, então cancelei a compra.","infelizmente nao recebi o produto, entao cancelei a compra.","['infelizmente', 'nao', 'recebi', 'produto', 'entao', 'cancelei', 'compra']",0.0,1,1,1
42544,Muito Bom. Chegou direitinho. Recomendo!,muito bom. chegou direitinho. recomendo!,"['muito', 'bom', 'chegou', 'direitinho', 'recomendo']",1.0,4,1,1
14191,"Esse produto veio certo ,mas já fiz compra anterior que tive que cancelar o pedido pois já estava com atraso de um mês na entrega.
","esse produto veio certo ,mas ja fiz compra anterior que tive que cancelar o pedido pois ja estava com atraso de um mes na entrega.
","['esse', 'produto', 'veio', 'certo', 'mas', 'ja', 'fiz', 'compra', 'anterior', 'que', 'tive', 'que', 'cancelar', 'pedido', 'pois', 'ja', 'estava', 'com', 'atraso', 'de', 'um', 'mes', 'na', 'entrega']",0.0,2,1,1
